method,searchSpaceSize,exploredCount,prunedCount,reductionRatio,runtimeMs,llmTokensUsed,llmCallCount
brute-force,6739,6739,6738,1.000000,86,0,0
constraint-propagation,6739,6739,6738,1.000000,39,0,0
