method,originalSearchSpaceSize,searchSpaceSize,exploredCount,prunedCount,reductionRatio,runtimeMs,llmTokensUsed,llmCallCount
brute-force,2176782336,2176782336,1808957,1808957,0.999169,11816,0,0
constraint-propagation,2176782336,1,0,210,1.000000,3,0,0
