loop,method,exploredCount,searchSpaceSize,reductionRatio,runtimeMs,llmTokensUsed,cumulativeTokens,solution
1,brute-force,28,17576,0.998407,0,0,0,{"c0":0,"c1":1,"c2":2}
2,llm-guided,0,1,1.000000,1,812,812,{"c0":0,"c1":1,"c2":2}
