method,originalSearchSpaceSize,searchSpaceSize,exploredCount,prunedCount,reductionRatio,runtimeMs,llmTokensUsed,llmCallCount
brute-force,17576,17576,28,28,0.998407,3,0,0
constraint-propagation,17576,1,0,75,1.000000,3,0,0
llm-guided,17576,1,0,75,1.000000,1,0,0
